id,text
1,The service was excellent and the staff were very friendly
2,I am extremely disappointed with the product quality
3,The delivery was fast but the packaging was damaged
4,This is the best experience I have ever had
5,Customer support was unhelpful and rude
6,I love how easy this app is to use
7,The food tasted awful and was cold
8,"Amazing performance, I would highly recommend it"
9,The instructions were confusing and unclear
10,I am satisfied with the overall service
11,The product stopped working after one week
12,Very happy with my purchase
13,The waiting time was too long
14,Everything worked perfectly as expected
15,I regret buying this item
16,The interface looks clean and modern
17,"Terrible experience, will not come back again"
18,The staff handled the issue professionally
19,Poor quality for the price paid
20,"Overall, a pleasant and smooth experience"
